FLIGHT,DESTGEO,BAREA,STRATA,PEAK,DEPTIME,ARRTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q4BAGS,Q4STORE,Q4FOOD,Q8COM1,Q8COM2,Q8COM3,HOME,Q17COUNTRY,Q18AGE,Q19GENDER,Q21FLY,WEIGHT
218,3,D,2,1,0.479166667,0.4375,60,2,,,1,1,2,,,,11,US,7,1,2,0.952000
218,3,D,2,1,0.479166667,0.416666667,90,1,,,1,2,2,,,,3,US,2,1,2,0.952000
218,3,D,2,1,0.479166667,0.430555556,70,1,,,1,1,1,,,,2,US,4,1,2,0.952000
218,3,D,2,1,0.479166667,0.427083333,75,2,,,2,2,1,,,,11,US,4,1,2,0.952000
218,3,D,2,1,0.479166667,0.381944444,140,2,,,2,2,1,,,,11,US,2,2,2,0.952000
9,8,G,2,3,0.559027778,0.375,265,2,,,2,1,1,3,,,12,US,6,1,1,0.725279
9,8,G,2,3,0.559027778,0.333333333,325,1,,,2,1,1,,,,16,CHINA,4,1,2,0.725279
9,8,G,2,3,0.559027778,0.371527778,270,1,,,2,2,1,505,,,11,US,3,1,2,0.725279
9,8,G,2,3,0.559027778,0.416666667,205,2,,,2,1,1,,,,16,CHINA,3,1,2,0.725279
9,8,G,2,3,0.559027778,N,N,0,,,1,1,1,704,,,16,CHINA,2,1,1,0.725279
9,8,G,2,3,0.559027778,0.25,445,2,,,2,2,2,23,,,10,US,2,2,2,0.725279
9,8,G,2,3,0.559027778,0.5625,1435,4,,,1,1,1,9,,,16,CHINA,2,1,1,0.725279
9,8,G,2,3,0.559027778,N,N,0,,,3,3,3,,,,16,CHINA,2,1,3,0.725279
9,8,G,2,3,0.559027778,0.415277778,207,2,3,,2,2,1,701,,,12,US,1,2,2,0.725279
9,8,G,2,3,0.559027778,0.415277778,207,3,,,2,2,1,203,,,12,US,1,2,2,0.725279
9,8,G,2,3,0.559027778,0.416666667,205,2,,,2,2,1,9,,,10,US,2,1,1,0.725279
9,8,G,2,3,0.559027778,0.440972222,170,2,,,3,1,2,,,,16,CHINA,2,1,3,0.725279
9,8,G,2,3,0.559027778,0.4375,175,2,,,2,1,1,,,,16,CHINA,2,1,3,0.725279
9,8,G,2,3,0.559027778,0.364583333,280,2,,,1,1,1,507,210,,10,US,2,2,3,0.725279
9,8,G,2,3,0.559027778,0.479166667,115,3,,,0,0,1,31,,,12,US,3,2,3,0.725279
9,8,G,2,3,0.559027778,0.486111111,105,4,,,2,2,2,,,,16,CHINA,3,2,2,0.725279
9,8,G,2,3,0.559027778,0.409722222,215,2,4,,1,1,2,,,,16,CHINA,2,2,3,0.725279
9,8,G,2,3,0.559027778,N,N,4,,,1,2,2,,,,16,CHINA,4,1,1,0.725279
9,8,G,2,3,0.559027778,0.503472222,80,3,,,1,2,2,,,,11,US,2,2,2,0.725279
9,8,G,2,3,0.559027778,0.479166667,115,7,,,1,1,2,,,,99,,2,2,2,0.725279
9,8,G,2,3,0.559027778,0.416666667,205,3,,,1,1,1,,,,90,,5,1,2,0.725279
